"order_date","order_year","order_month","emp_id","emp_name","supervisor","product_id","product_name","unit_sold","price_per_unit","total_sales"
"2019-01-01","2019","2019-01","10001","EMP-1","Supervisor-1","P10015","Product-15","250","122","30500"
"2019-01-01","2019","2019-01","10001","EMP-1","Supervisor-1","P10019","Product-19","243","79","19197"
"2019-01-01","2019","2019-01","10001","EMP-1","Supervisor-1","P10023","Product-23","133","23","3059"
"2019-01-01","2019","2019-01","10001","EMP-1","Supervisor-1","P10023","Product-23","156","23","3588"
"2019-01-01","2019","2019-01","10001","EMP-1","Supervisor-1","P10027","Product-27","168","139","23352"
"2019-01-01","2019","2019-01","10001","EMP-1","Supervisor-1","P10029","Product-29","167","129","21543"
"2019-01-01","2019","2019-01","10002","EMP-2","Supervisor-1","P10013","Product-13","196","97","19012"
"2019-01-01","2019","2019-01","10002","EMP-2","Supervisor-1","P10014","Product-14","62","150","9300"
"2019-01-01","2019","2019-01","10002","EMP-2","Supervisor-1","P10018","Product-18","112","29","3248"
"2019-01-01","2019","2019-01","10003","EMP-3","Supervisor-1","P10006","Product-6","160","113","18080"
"2019-01-01","2019","2019-01","10003","EMP-3","Supervisor-1","P10007","Product-7","263","145","38135"
"2019-01-01","2019","2019-01","10003","EMP-3","Supervisor-1","P10014","Product-14","300","150","45000"
"2019-01-01","2019","2019-01","10003","EMP-3","Supervisor-1","P10020","Product-20","147","70","10290"
"2019-01-01","2019","2019-01","10003","EMP-3","Supervisor-1","P10022","Product-22","70","87","6090"
"2019-01-01","2019","2019-01","10004","EMP-4","Supervisor-1","P10005","Product-5","203","44","8932"
"2019-01-01","2019","2019-01","10004","EMP-4","Supervisor-1","P10009","Product-9","198","73","14454"
"2019-01-01","2019","2019-01","10004","EMP-4","Supervisor-1","P10012","Product-12","158","88","13904"
"2019-01-01","2019","2019-01","10004","EMP-4","Supervisor-1","P10019","Product-19","201","79","15879"
"2019-01-01","2019","2019-01","10005","EMP-5","Supervisor-1","P10001","Product-1","71","60","4260"
"2019-01-01","2019","2019-01","10005","EMP-5","Supervisor-1","P10004","Product-4","106","84","8904"
"2019-01-01","2019","2019-01","10005","EMP-5","Supervisor-1","P10018","Product-18","107","29","3103"
"2019-01-01","2019","2019-01","10006","EMP-6","Supervisor-1","P10013","Product-13","89","97","8633"
"2019-01-01","2019","2019-01","10007","EMP-7","Supervisor-2","P10014","Product-14","266","150","39900"
"2019-01-01","2019","2019-01","10008","EMP-8","Supervisor-2","P10003","Product-3","96","39","3744"
"2019-01-01","2019","2019-01","10008","EMP-8","Supervisor-2","P10008","Product-8","59","68","4012"
"2019-01-01","2019","2019-01","10008","EMP-8","Supervisor-2","P10020","Product-20","50","70","3500"
"2019-01-01","2019","2019-01","10009","EMP-9","Supervisor-2","P10001","Product-1","98","60","5880"
"2019-01-01","2019","2019-01","10009","EMP-9","Supervisor-2","P10002","Product-2","53","114","6042"
"2019-01-01","2019","2019-01","10009","EMP-9","Supervisor-2","P10003","Product-3","199","39","7761"
"2019-01-01","2019","2019-01","10009","EMP-9","Supervisor-2","P10018","Product-18","221","29","6409"
"2019-01-01","2019","2019-01","10009","EMP-9","Supervisor-2","P10026","Product-26","129","110","14190"
"2019-01-01","2019","2019-01","10010","EMP-10","Supervisor-2","P10025","Product-25","258","85","21930"
"2019-01-01","2019","2019-01","10011","EMP-11","Supervisor-3","P10004","Product-4","71","84","5964"
"2019-01-01","2019","2019-01","10011","EMP-11","Supervisor-3","P10017","Product-17","156","116","18096"
"2019-01-01","2019","2019-01","10013","EMP-13","Supervisor-3","P10021","Product-21","63","141","8883"
"2019-01-01","2019","2019-01","10013","EMP-13","Supervisor-3","P10022","Product-22","78","87","6786"
"2019-01-01","2019","2019-01","10013","EMP-13","Supervisor-3","P10029","Product-29","221","129","28509"
"2019-01-01","2019","2019-01","10014","EMP-14","Supervisor-3","P10017","Product-17","74","116","8584"
"2019-01-01","2019","2019-01","10014","EMP-14","Supervisor-3","P10022","Product-22","246","87","21402"
"2019-01-01","2019","2019-01","10014","EMP-14","Supervisor-3","P10030","Product-30","160","20","3200"
"2019-01-01","2019","2019-01","10015","EMP-15","Supervisor-3","P10007","Product-7","100","145","14500"
"2019-01-01","2019","2019-01","10015","EMP-15","Supervisor-3","P10009","Product-9","229","73","16717"
"2019-01-01","2019","2019-01","10015","EMP-15","Supervisor-3","P10016","Product-16","244","92","22448"
"2019-01-01","2019","2019-01","10015","EMP-15","Supervisor-3","P10021","Product-21","270","141","38070"
"2019-01-01","2019","2019-01","10015","EMP-15","Supervisor-3","P10027","Product-27","218","139","30302"
"2019-01-01","2019","2019-01","10015","EMP-15","Supervisor-3","P10028","Product-28","206","107","22042"
"2019-01-01","2019","2019-01","10016","EMP-16","Supervisor-4","P10002","Product-2","64","114","7296"
"2019-01-01","2019","2019-01","10016","EMP-16","Supervisor-4","P10021","Product-21","140","141","19740"
"2019-01-01","2019","2019-01","10016","EMP-16","Supervisor-4","P10025","Product-25","212","85","18020"
"2019-01-01","2019","2019-01","10017","EMP-17","Supervisor-4","P10012","Product-12","228","88","20064"
"2019-01-01","2019","2019-01","10018","EMP-18","Supervisor-4","P10001","Product-1","246","60","14760"
"2019-01-01","2019","2019-01","10018","EMP-18","Supervisor-4","P10021","Product-21","77","141","10857"
"2019-01-01","2019","2019-01","10018","EMP-18","Supervisor-4","P10023","Product-23","271","23","6233"
"2019-01-01","2019","2019-01","10019","EMP-19","Supervisor-4","P10007","Product-7","264","145","38280"
"2019-01-01","2019","2019-01","10019","EMP-19","Supervisor-4","P10007","Product-7","199","145","28855"
"2019-01-01","2019","2019-01","10019","EMP-19","Supervisor-4","P10008","Product-8","292","68","19856"
"2019-01-01","2019","2019-01","10019","EMP-19","Supervisor-4","P10024","Product-24","252","68","17136"
"2019-01-01","2019","2019-01","10020","EMP-20","Supervisor-4","P10015","Product-15","157","122","19154"
"2019-01-01","2019","2019-01","10020","EMP-20","Supervisor-4","P10017","Product-17","123","116","14268"
"2019-01-02","2019","2019-01","10001","EMP-1","Supervisor-1","P10008","Product-8","268","68","18224"
"2019-01-02","2019","2019-01","10001","EMP-1","Supervisor-1","P10015","Product-15","256","122","31232"
