"Date","EMP ID","Product ID","Unit Sold"
"2019-01-01","10019","P10007","199"
"2019-01-01","10005","P10001","71"
"2019-01-01","10004","P10019","201"
"2019-01-01","10014","P10022","246"
"2019-01-01","10005","P10004","106"
"2019-01-01","10005","P10018","107"
"2019-01-01","10009","P10026","129"
"2019-01-01","10013","P10021","63"
"2019-01-01","10008","P10008","59"
"2019-01-01","10001","P10023","156"
"2019-01-01","10001","P10027","168"
"2019-01-01","10013","P10029","221"
"2019-01-01","10009","P10018","221"
"2019-01-01","10015","P10027","218"
"2019-01-01","10013","P10022","78"
"2019-01-01","10001","P10015","250"
"2019-01-01","10019","P10024","252"
"2019-01-01","10003","P10022","70"
"2019-01-01","10010","P10025","258"
"2019-01-01","10001","P10029","167"
"2019-01-01","10003","P10014","300"
"2019-01-01","10015","P10007","100"
"2019-01-01","10020","P10017","123"
"2019-01-01","10003","P10006","160"
"2019-01-01","10004","P10009","198"
"2019-01-01","10008","P10020","50"
"2019-01-01","10003","P10020","147"
"2019-01-01","10011","P10017","156"
"2019-01-01","10004","P10005","203"
"2019-01-01","10014","P10030","160"
"2019-01-01","10015","P10028","206"
"2019-01-01","10002","P10018","112"
"2019-01-01","10006","P10013","89"
"2019-01-01","10019","P10007","264"
"2019-01-01","10002","P10013","196"
"2019-01-01","10018","P10021","77"
"2019-01-01","10016","P10002","64"
"2019-01-01","10004","P10012","158"
"2019-01-01","10009","P10003","199"
"2019-01-01","10007","P10014","266"
"2019-01-01","10016","P10025","212"
"2019-01-01","10002","P10014","62"
"2019-01-01","10017","P10012","228"
"2019-01-01","10003","P10007","263"
"2019-01-01","10008","P10003","96"
"2019-01-01","10001","P10023","133"
"2019-01-01","10001","P10019","243"
"2019-01-01","10018","P10023","271"
"2019-01-01","10011","P10004","71"
"2019-01-01","10009","P10002","53"
"2019-01-01","10015","P10016","244"
"2019-01-01","10020","P10015","157"
"2019-01-01","10018","P10001","246"
"2019-01-01","10015","P10009","229"
"2019-01-01","10015","P10021","270"
"2019-01-01","10019","P10008","292"
"2019-01-01","10016","P10021","140"
"2019-01-01","10014","P10017","74"
"2019-01-01","10009","P10001","98"
"2019-01-02","10007","P10022","68"
"2019-01-02","10019","P10006","238"
"2019-01-02","10015","P10006","181"
"2019-01-02","10009","P10008","178"
"2019-01-02","10006","P10015","125"
"2019-01-02","10012","P10002","297"
"2019-01-02","10001","P10017","155"
"2019-01-02","10006","P10015","75"
"2019-01-02","10007","P10027","297"
"2019-01-02","10018","P10015","122"
"2019-01-02","10005","P10030","151"
"2019-01-02","10002","P10010","103"
"2019-01-02","10004","P10010","300"
"2019-01-02","10008","P10015","263"
"2019-01-02","10009","P10015","113"
"2019-01-02","10008","P10027","234"
"2019-01-02","10003","P10001","72"
"2019-01-02","10001","P10015","256"
"2019-01-02","10011","P10015","67"
"2019-01-02","10008","P10010","293"
"2019-01-02","10005","P10009","92"
"2019-01-02","10003","P10019","245"
"2019-01-02","10015","P10030","102"
"2019-01-02","10017","P10014","89"
"2019-01-02","10019","P10023","85"
"2019-01-02","10014","P10026","179"
"2019-01-02","10009","P10012","70"
"2019-01-02","10006","P10029","169"
"2019-01-02","10018","P10013","137"
"2019-01-02","10006","P10015","84"
"2019-01-02","10009","P10021","170"
"2019-01-02","10008","P10018","252"
"2019-01-02","10006","P10006","160"
"2019-01-02","10018","P10013","121"
"2019-01-02","10016","P10029","171"
"2019-01-02","10003","P10011","163"
"2019-01-02","10009","P10008","112"
"2019-01-02","10016","P10027","103"
"2019-01-02","10007","P10022","196"
"2019-01-02","10017","P10015","64"
"2019-01-02","10015","P10008","76"
"2019-01-02","10007","P10004","153"
"2019-01-02","10013","P10029","170"
"2019-01-02","10002","P10002","203"
"2019-01-02","10001","P10008","268"
"2019-01-02","10006","P10019","171"
"2019-01-02","10009","P10023","93"
"2019-01-02","10014","P10004","225"
"2019-01-02","10010","P10005","116"
"2019-01-02","10011","P10026","280"
"2019-01-02","10008","P10016","266"
"2019-01-02","10009","P10008","255"
"2019-01-02","10007","P10007","101"
"2019-01-02","10004","P10021","199"
"2019-01-02","10016","P10030","193"
"2019-01-02","10017","P10016","109"
"2019-01-02","10012","P10007","295"
"2019-01-02","10020","P10019","224"
"2019-01-02","10005","P10027","150"
"2019-01-03","10005","P10008","79"
"2019-01-03","10019","P10027","300"
"2019-01-03","10013","P10024","118"
"2019-01-03","10019","P10021","224"
"2019-01-03","10008","P10020","110"
"2019-01-03","10008","P10028","78"
"2019-01-03","10016","P10005","97"
"2019-01-03","10007","P10008","298"
"2019-01-03","10010","P10002","239"
"2019-01-03","10017","P10009","72"
"2019-01-03","10006","P10015","147"
"2019-01-03","10011","P10014","238"
"2019-01-03","10010","P10020","175"
"2019-01-03","10011","P10012","245"
"2019-01-03","10001","P10008","236"
"2019-01-03","10007","P10021","112"
"2019-01-03","10009","P10024","189"
"2019-01-03","10015","P10002","235"
"2019-01-03","10015","P10019","256"
"2019-01-03","10011","P10017","232"
"2019-01-03","10011","P10002","105"
"2019-01-03","10010","P10026","138"
"2019-01-03","10010","P10024","247"
"2019-01-03","10010","P10022","300"
"2019-01-03","10012","P10017","62"
"2019-01-03","10006","P10028","148"
"2019-01-03","10014","P10028","196"
"2019-01-03","10003","P10025","129"
"2019-01-03","10013","P10020","227"
"2019-01-03","10009","P10011","167"
"2019-01-03","10013","P10024","113"
"2019-01-03","10019","P10024","57"
"2019-01-03","10006","P10028","115"
"2019-01-03","10018","P10001","148"
"2019-01-03","10015","P10017","65"
"2019-01-03","10018","P10003","128"
"2019-01-03","10010","P10003","159"
"2019-01-03","10019","P10022","227"
"2019-01-03","10008","P10023","242"
"2019-01-03","10014","P10014","210"
"2019-01-03","10013","P10010","107"
"2019-01-03","10011","P10025","205"
"2019-01-03","10014","P10025","171"
"2019-01-03","10013","P10029","62"
"2019-01-03","10013","P10005","94"
"2019-01-03","10014","P10016","114"
"2019-01-03","10007","P10028","296"
"2019-01-03","10015","P10009","237"
"2019-01-03","10016","P10010","281"
"2019-01-03","10008","P10024","280"
"2019-01-03","10009","P10012","300"
"2019-01-03","10010","P10016","91"
"2019-01-03","10007","P10016","68"
"2019-01-03","10004","P10024","294"
"2019-01-03","10009","P10005","179"
"2019-01-03","10011","P10016","64"
"2019-01-03","10018","P10030","167"
"2019-01-03","10015","P10020","96"
"2019-01-03","10010","P10029","196"
"2019-01-04","10003","P10030","136"
"2019-01-04","10002","P10012","193"
"2019-01-04","10007","P10007","157"
"2019-01-04","10016","P10004","290"
"2019-01-04","10016","P10015","214"
"2019-01-04","10008","P10021","176"
"2019-01-04","10016","P10005","243"
"2019-01-04","10019","P10001","224"
"2019-01-04","10010","P10025","162"
"2019-01-04","10002","P10017","192"
"2019-01-04","10014","P10007","230"
"2019-01-04","10007","P10017","233"
"2019-01-04","10016","P10023","254"
"2019-01-04","10008","P10001","57"
"2019-01-04","10005","P10004","69"
"2019-01-04","10002","P10016","199"
"2019-01-04","10016","P10009","232"
"2019-01-04","10014","P10026","149"
"2019-01-04","10002","P10019","128"
"2019-01-04","10010","P10017","192"
"2019-01-04","10004","P10025","184"
"2019-01-04","10008","P10021","60"
"2019-01-04","10019","P10004","276"
"2019-01-04","10001","P10018","78"
"2019-01-04","10007","P10015","220"
"2019-01-04","10009","P10025","181"
"2019-01-04","10003","P10012","289"
"2019-01-04","10012","P10014","225"
"2019-01-04","10014","P10023","241"
"2019-01-04","10020","P10003","158"
"2019-01-04","10020","P10013","233"
"2019-01-04","10018","P10015","288"
"2019-01-04","10002","P10014","62"
"2019-01-04","10006","P10004","103"
"2019-01-04","10012","P10011","67"
"2019-01-04","10019","P10019","97"
"2019-01-04","10004","P10020","280"
"2019-01-04","10009","P10006","216"
"2019-01-04","10004","P10006","222"
"2019-01-04","10006","P10014","272"
"2019-01-04","10012","P10020","53"
"2019-01-04","10007","P10023","96"
"2019-01-04","10015","P10015","187"
"2019-01-04","10014","P10019","197"
"2019-01-04","10007","P10016","85"
"2019-01-04","10007","P10011","275"
"2019-01-04","10003","P10025","145"
"2019-01-04","10007","P10022","240"
"2019-01-04","10008","P10019","268"
"2019-01-04","10019","P10002","51"
"2019-01-04","10001","P10025","290"
"2019-01-04","10013","P10002","251"
"2019-01-04","10010","P10023","196"
"2019-01-04","10002","P10026","161"
"2019-01-04","10017","P10014","118"
"2019-01-04","10013","P10001","173"
"2019-01-04","10020","P10028","235"
"2019-01-04","10020","P10026","294"
"2019-01-04","10002","P10022","161"
"2019-01-05","10017","P10028","172"
"2019-01-05","10009","P10017","88"
"2019-01-05","10002","P10018","232"
"2019-01-05","10017","P10012","99"
"2019-01-05","10012","P10004","143"
"2019-01-05","10005","P10013","188"
"2019-01-05","10018","P10011","95"
"2019-01-05","10003","P10013","198"
"2019-01-05","10003","P10030","258"
"2019-01-05","10019","P10011","130"
"2019-01-05","10012","P10024","67"
"2019-01-05","10019","P10011","123"
"2019-01-05","10005","P10020","286"
"2019-01-05","10002","P10005","144"
"2019-01-05","10014","P10011","145"
"2019-01-05","10016","P10023","187"
"2019-01-05","10016","P10026","131"
"2019-01-05","10004","P10007","80"
"2019-01-05","10001","P10028","202"
"2019-01-05","10013","P10029","291"
"2019-01-05","10014","P10014","89"
"2019-01-05","10012","P10012","211"
"2019-01-05","10011","P10018","209"
"2019-01-05","10007","P10021","170"
"2019-01-05","10001","P10016","300"
"2019-01-05","10001","P10015","300"
"2019-01-05","10007","P10003","166"
"2019-01-05","10007","P10004","285"
"2019-01-05","10004","P10015","116"
"2019-01-05","10007","P10026","298"
"2019-01-05","10002","P10010","290"
"2019-01-05","10019","P10018","233"
